country,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
Portugal,2025-08-08,Casa Pia,Sporting CP,0.0,2.0,0.0,1.0,A
Portugal,2025-08-09,Nacional,GIL Vicente,0.0,2.0,0.0,2.0,A
Portugal,2025-08-09,Arouca,AVS,3.0,1.0,1.0,0.0,H
Portugal,2025-08-10,Famalicao,Santa Clara,3.0,0.0,2.0,0.0,H
Portugal,2025-08-10,Moreirense,Alverca,2.0,1.0,1.0,1.0,H
Portugal,2025-08-10,SC Braga,Tondela,3.0,0.0,2.0,0.0,H
Portugal,2025-08-11,Estoril,Estrela,1.0,1.0,1.0,0.0,D
Portugal,2025-08-11,FC Porto,Guimaraes,3.0,0.0,2.0,0.0,H
Portugal,2025-08-15,AVS,Casa Pia,0.0,2.0,0.0,1.0,A
Portugal,2025-08-16,Tondela,Famalicao,0.0,1.0,0.0,0.0,A
Portugal,2025-08-16,Guimaraes,Estoril,3.0,2.0,1.0,1.0,H
Portugal,2025-08-16,Estrela,Benfica,0.0,1.0,0.0,0.0,A
Portugal,2025-08-17,Rio Ave,Nacional,1.0,1.0,1.0,0.0,D
Portugal,2025-08-17,Santa Clara,Moreirense,0.0,1.0,0.0,1.0,A
Portugal,2025-08-17,Alverca,SC Braga,0.0,3.0,0.0,3.0,A
Portugal,2025-08-17,Sporting CP,Arouca,6.0,0.0,3.0,0.0,H
Portugal,2025-08-18,GIL Vicente,FC Porto,0.0,2.0,0.0,1.0,A
Portugal,2025-08-23,Moreirense,Guimaraes,2.0,0.0,0.0,0.0,H
Portugal,2025-08-23,Nacional,Sporting CP,1.0,4.0,1.0,0.0,A
Portugal,2025-08-23,Benfica,Tondela,3.0,0.0,2.0,0.0,H
Portugal,2025-08-23,Arouca,Rio Ave,3.0,3.0,1.0,0.0,D
Portugal,2025-08-24,Famalicao,GIL Vicente,0.0,0.0,0.0,0.0,D
Portugal,2025-08-24,FC Porto,Casa Pia,4.0,0.0,3.0,0.0,H
Portugal,2025-08-24,SC Braga,AVS,2.0,2.0,1.0,2.0,D
Portugal,2025-08-25,Estrela,Alverca,2.0,2.0,1.0,2.0,D
Portugal,2025-08-29,GIL Vicente,Moreirense,2.0,0.0,0.0,0.0,H
Portugal,2025-08-30,Casa Pia,Nacional,0.0,2.0,0.0,2.0,A
Portugal,2025-08-30,Guimaraes,Arouca,1.0,1.0,1.0,1.0,D
Portugal,2025-08-30,AVS,Famalicao,0.0,1.0,0.0,0.0,A
Portugal,2025-08-30,Sporting CP,FC Porto,1.0,2.0,0.0,0.0,A
Portugal,2025-08-31,Tondela,Estoril,2.0,2.0,0.0,1.0,D
Portugal,2025-08-31,Alverca,Benfica,1.0,2.0,0.0,2.0,A
Portugal,2025-08-31,Rio Ave,SC Braga,2.0,2.0,2.0,1.0,D
Portugal,2025-08-31,Santa Clara,Estrela,0.0,0.0,0.0,0.0,D
Portugal,2025-09-06,Estoril,Santa Clara,0.0,1.0,0.0,0.0,A
Portugal,2025-09-12,Alverca,Tondela,1.0,0.0,1.0,0.0,H
Portugal,2025-09-12,Benfica,Santa Clara,1.0,1.0,0.0,0.0,D
Portugal,2025-09-13,Moreirense,Rio Ave,3.0,1.0,0.0,0.0,H
Portugal,2025-09-13,Estoril,AVS,3.0,1.0,2.0,0.0,H
Portugal,2025-09-13,FC Porto,Nacional,1.0,0.0,1.0,0.0,H
Portugal,2025-09-13,Famalicao,Sporting CP,1.0,2.0,1.0,1.0,A
Portugal,2025-09-14,Estrela,Guimaraes,0.0,2.0,0.0,1.0,A
Portugal,2025-09-14,Arouca,Casa Pia,0.0,2.0,0.0,1.0,A
Portugal,2025-09-14,SC Braga,GIL Vicente,0.0,1.0,0.0,1.0,A
