,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR
188,2025-08-08,Casa Pia,Sporting CP,0,2,0,0,A
189,2025-08-09,Nacional,GIL Vicente,0,2,0,0,A
190,2025-08-09,Arouca,AVS,3,1,1,2,H
191,2025-08-10,Famalicao,Santa Clara,3,0,2,1,H
192,2025-08-10,Moreirense,Alverca,2,1,1,1,H
193,2025-08-10,SC Braga,Tondela,3,0,2,1,H
194,2025-08-11,Estoril,Estrela,1,1,1,0,D
195,2025-08-11,FC Porto,Guimaraes,3,0,2,1,H
196,2025-08-15,AVS,Casa Pia,0,2,0,0,A
197,2025-08-16,Tondela,Famalicao,0,1,0,0,A
198,2025-08-16,Guimaraes,Estoril,3,2,1,2,H
199,2025-08-16,Estrela,Benfica,0,1,0,0,A
200,2025-08-17,Rio Ave,Nacional,1,1,1,0,D
201,2025-08-17,Santa Clara,Moreirense,0,1,0,0,A
202,2025-08-17,Alverca,SC Braga,0,3,0,0,A
203,2025-08-17,Sporting CP,Arouca,6,0,3,3,H
204,2025-08-18,GIL Vicente,FC Porto,0,2,0,0,A
205,2025-08-23,Moreirense,Guimaraes,2,0,0,2,H
206,2025-08-23,Nacional,Sporting CP,1,4,1,0,A
207,2025-08-23,Benfica,Tondela,3,0,2,1,H
208,2025-08-23,Arouca,Rio Ave,3,3,1,2,D
209,2025-08-24,Famalicao,GIL Vicente,0,0,0,0,D
210,2025-08-24,FC Porto,Casa Pia,4,0,3,1,H
211,2025-08-24,SC Braga,AVS,2,2,1,1,D
212,2025-08-25,Estrela,Alverca,2,2,1,1,D
213,2025-08-29,GIL Vicente,Moreirense,2,0,0,2,H
214,2025-08-30,Casa Pia,Nacional,0,2,0,0,A
215,2025-08-30,Guimaraes,Arouca,1,1,1,0,D
216,2025-08-30,AVS,Famalicao,0,1,0,0,A
217,2025-08-30,Sporting CP,FC Porto,1,2,0,1,A
218,2025-08-31,Tondela,Estoril,2,2,0,2,D
219,2025-08-31,Alverca,Benfica,1,2,0,1,A
220,2025-08-31,Rio Ave,SC Braga,2,2,2,0,D
221,2025-08-31,Santa Clara,Estrela,0,0,0,0,D
